# This is the user file associated with the ESAPI library from http://www.owasp.org
# accountId | accountName | hashedPassword | roles | locked | enabled | csrfToken | oldPasswordHashes | lastPasswordChangeTime | lastLoginTime | lastFailedLoginTime | expirationTime | failedLoginCount

9015776033263106214 | testaccount1 | tfQuPxxciVGtLm78TEm6gB6Zw73bvJ2iiE6qy1CRXW/UZS7CJqwEfEN/VA0VzR92aDaDj/sXQlNg5UbahLlJrg== |  | unlocked | disabled |  | local | 0 | 0 | 0 | 9223372036854775807 | 0
2225811485726518806 | wqe818bc | agV5y/yHddUK+Dk7RFoEJzHzr/RBML9cQam2kSmrEvpM4JYChmOO1N2INWKwvA9UyM9jP+GLBEA6lSt94JLkmQ== |  | unlocked | disabled |  | local | 0 | 0 | 0 | 9223372036854775807 | 0
4728448771540838867 | nbqwnvlv | L7+ZRdDLnWCRZQFT4YBmcrKmYTefuggScymo9ZAqDwEs9hbuh0/7xaHNxF6Mg45YexRXT66v85vs2W0TdLAcBg== |  | unlocked | enabled |  | local | 0 | 1220648673968 | 0 | 9223372036854775807 | 0
7187122407271828513 | u7m3zgmn | /IVFvT95z9rT6EJOYkzu8kJscClo8kKQ081mbHhfLew3VXp0KyB1i8O71A7O6s2J+1nL2myHsYs/vrm/fOIBSw== |  | unlocked | disabled |  | local | 0 | 1220648671436 | 0 | 9223372036854775807 | 0
7698365206136722433 | test5 | gdxsFbHPWcARFme98QulJbsbKa5SfjGBlIIJUUMMixGg4NzKP2sES8Hjx7lstNVZ/Kos5NnNmcfqP5vlmRGjvA== |  | unlocked | disabled |  | local | 0 | 0 | 0 | 9223372036854775807 | 0
5324070557435652515 | test8 | gMt4v4lQHG51Yfjr1j2i8tZoeXz3nXoCENUowui1C2Q/oNOfMDT8v662pv1W1/6DiMhaixb7nEDBPQ3VnqizAw== |  | unlocked | disabled |  | local | 0 | 0 | 0 | 9223372036854775807 | 0
5734496651283723423 | uxivcz9e | qVh2dzyB8VrxoJv+5Mqe79g21WwfusOYMIE6W75BYP+4jrpfwFViFOVi3IS5LAfRa9YVvkosfF2WbT7jgzwE2w== |  | unlocked | disabled |  | local | 0 | 0 | 0 | 0 | 0
1830362627156408274 | ytrxgqbh | J8/nFNQLSy520LMjrasQaTZScsmkmLTmsU594mJhPAZ+9IGsl+VDaD8ZYuUuNP3PazUD4SXi3gth0AReCRFcrA== |  | unlocked | disabled |  | local | 0 | 0 | 0 | 9223372036854775807 | 0
7771260797790544759 | testuser1 | Krr8U8W5srsTjFR5n8/Ov9pFkNVnUAtEi7Md5T48zPQKwRr0Q8cfIH/ZgyGFvVNcD+06Rdsa8rPn5E/hfHnhlQ== | user | unlocked | disabled |  | local | 0 | 0 | 0 | 9223372036854775807 | 0
1237125688875381607 | test9 | a9kNNsnwPUlZ5jFNXuGU3pKEPML2/XdH83XvQNfxnoEJv0sfEPNzPH1PfR004WlfV/+PnjlPVWCV+KO3ofeBHg== |  | unlocked | disabled |  | local | 0 | 0 | 0 | 9223372036854775807 | 0
7637213958633705161 | testaccount7 | nrXO+gdqR/lmFbgJKUx0dAi9Frac87ih0dzZKXnSEoCrGfFMpKAGyRaCIMAiwTnCAqXyRA+8AtV+ctpOmjRjdw== |  | unlocked | disabled |  | local | 0 | 0 | 0 | 9223372036854775807 | 0
5561780797537801592 | testaccount8 | vxsvmzljThtHoo/3cp7iZ227VXsqd/fljWg4Q14aYisoj41MiRfMj4Z4x1LTWWqMZFjACNmgYml1Svwtl5axlQ== |  | unlocked | disabled |  | local | 0 | 0 | 0 | 9223372036854775807 | 0
2862948992041568191 | b2ionmwr | uFNTgsJeqkcwo9px/r53jXf3Nhk/TY0T6BDGplwHgNEHjkjCy/3YI6DxwlfmazDOxwVr0661HUyToRiTg8MyWA== |  | unlocked | disabled |  | local | 0 | 0 | 0 | 9223372036854775807 | 0
3676509467852295102 | kckkzh0 | sOJ4TbkR8hnSQTDiA2zE/anKT9hTejbOOiEk78o9lO1ZfwVYnepjZvp9KauHlqZtI49y0KcBBVxmJpBT84n1dQ== |  | unlocked | disabled |  | local | 0 | 0 | 0 | 9223372036854775807 | 0
6152315886715354279 | 4vzecs20 | GmNEGYMWlwkpcTRdHF91BIIz70YHpGzbWAtBwZJYaeDTonSJjsaYvvP+tg5JuoWiUjeSwo3ATPBWeTwuDVatew== |  | unlocked | disabled |  | local | 0 | 0 | 0 | 9223372036854775807 | 0
6143616519013851158 | gpp9fzst | BTY8o2PmxHI1YtQopLIFkLFxYkevqlqj9T9aqLfzjUsh6Ib7Si0W5zBp2d+Yxpa8Uicegxz222jGrdsMVeUZng== |  | unlocked | disabled |  | local | 0 | 0 | 0 | 9223372036854775807 | 0
1284797063075349687 | sv5gyqrx | 8PoQuwS3JZ1TDLBLOY+JSe1TqplPtVUNOfW5fgcaxKEBy8Dq/JrtdjLYGxGy4iiPC2cKw2MsQPJ16+n9BZneXA== | rolea,roleb | unlocked | disabled |  | local | 0 | 0 | 0 | 9223372036854775807 | 0
4180120555899728608 | 8mwubb4e | l2d7y4oVXaWiOYaSxH4t4rYc98ThLLxIivZlxg0lITGb5Iv8hrAVeS2qo9voHuWGrPYkWgDn0pYte5DrK2xMkw== |  | unlocked | disabled |  | local | 0 | 0 | 0 | 9223372036854775807 | 0
1646460236498023916 | testaccount2 | xU2pLVb7+v4J2uTOtIg7DqA2MIqLlCBpPWIDuuuCWTaFmVjgjdXdkZCy1qJYbbxwW0vuyTGQIRDDlWJP3Bo6KQ== |  | unlocked | disabled |  | local | 0 | 0 | 0 | 9223372036854775807 | 0
5075183420383440662 | ihoatycc | rHlbcWznAyL/ZW2/E5HHNp3Uz0iwk9K9CZ4nQOuqjJJc1OxYX1FZG2A1tfahPZLWMUOfsyuycYxkbdAHcNwu9A== |  | unlocked | disabled |  | local | 0 | 0 | 0 | 9223372036854775807 | 0
9138401313318626214 | testuser2 | GvedqHUMBNq7kJE8vUNus+OQ+bjlPxlwHJUrqePqoYzbzX+Bcsfe82HodccweZ1oPVGet49xc2DHzx9Pumf3jg== | admin | unlocked | disabled |  | local | 0 | 0 | 0 | 9223372036854775807 | 0
8434502234614816270 | lvmrljil | Ubt1/knCK5iZWDW8InsCsh0cKj45urdn6lbPFpCS3DDvrTB/fopwB1yjm8f5AmZCG1XqaH7EF7/QVeT6M3yvaQ== |  | unlocked | disabled |  | local | 1220648671154 | 1220648671174 | 0 | 9223372036854775807 | 0
